自治体コード,都道府県名,市区名,世界測地系（WGS84）,,緯度,経度,日本測地系（参考）
1,北海道,札幌市,"北緯   43°03′51″
東経 141°20′49″","43.06417,141.34694",43.06417,141.34694,"43.06171,141.35062"
2,青森県,青森市,"北緯   40°49′28″
東経 140°44′24″","40.82444,140.74",40.82444,140.74,"40.82175,140.74353"
3,岩手県,盛岡市,"北緯   39°42′13″
東経 141°09′09″","39.70361,141.1525",39.70361,141.1525,"39.70079,141.15601"
4,宮城県,仙台市,"北緯   38°16′08″
東経 140°52′19″","38.26889,140.87194",38.26889,140.87194,"38.26592,140.87536"
5,秋田県,秋田市,"北緯   39°43′07″
東経 140°06′09″","39.71861,140.1025",39.71861,140.1025,"39.71581,140.10592"
6,山形県,山形市,"北緯   38°14′26″
東経 140°21′48″","38.24056,140.36333",38.24056,140.36333,"38.2376,140.36671"
7,福島県,福島市,"北緯   37°45′00″
東経 140°28′04″","37.75,140.46778",37.75,140.46778,"37.74698,140.47114"
8,茨城県,水戸市,"北緯   36°20′29″
東経 140°26′48″","36.34139,140.44667",36.34139,140.44667,"36.33822,140.44997"
9,栃木県,宇都宮市,"北緯   36°33′57″
東経 139°53′01″","36.56583,139.88361",36.56583,139.88361,"36.5627,139.88687"
10,群馬県,前橋市,"北緯   36°23′28″
東経 139°03′39″","36.39111,139.06083",36.39111,139.06083,"36.38797,139.06401"
11,埼玉県,さいたま市,"北緯   35°51′25″
東経 139°38′56″","35.85694,139.64889",35.85694,139.64889,"35.85373,139.6521"
12,千葉県,千葉市,"北緯   35°36′17″
東経 140°07′24″","35.60472,140.12333",35.60472,140.12333,"35.60148,140.12657"
13,東京都,新宿区,"北緯   35°41′22″
東経 139°41′30″","35.68944,139.69167",35.68944,139.69167,"35.68622,139.69487"
14,神奈川県,横浜市,"北緯   35°26′52″
東経 139°38′33″","35.44778,139.6425",35.44778,139.6425,"35.44453,139.64569"
15,新潟県,新潟市,"北緯   37°54′08″
東経 139°01′25″","37.90222,139.02361",37.90222,139.02361,"37.89924,139.02686"
16,富山県,富山市,"北緯   36°41′43″
東経 137°12′41″","36.69528,137.21139",36.69528,137.21139,"36.69221,137.21443"
17,石川県,金沢市,"北緯   36°35′40″
東経 136°37′32″","36.59444,136.62556",36.59444,136.62556,"36.59137,136.62855"
18,福井県,福井市,"北緯   36°03′55″
東経 136°13′19″","36.06528,136.22194",36.06528,136.22194,"36.06216,136.22487"
19,山梨県,甲府市,"北緯   35°39′50″
東経 138°34′06″","35.66389,138.56833",35.66389,138.56833,"35.66068,138.57144"
20,長野県,長野市,"北緯   36°39′05″
東経 138°10′52″","36.65139,138.18111",36.65139,138.18111,"36.64829,138.18423"
21,岐阜県,岐阜市,"北緯   35°23′28″
東経 136°43′20″","35.39111,136.72222",35.39111,136.72222,"35.38791,136.72516"
22,静岡県,静岡市,"北緯   34°58′37″
東経 138°22′59″","34.97694,138.38306",34.97694,138.38306,"34.97366,138.38612"
23,愛知県,名古屋市,"北緯   35°10′49″
東経 136°54′24″","35.18028,136.90667",35.18028,136.90667,"34.97038,138.38918"
24,三重県,津市,"北緯   34°43′49″
東経 136°30′31″","34.73028,136.50861",34.73028,136.50861,"34.72701,136.51151"
25,滋賀県,大津市,"北緯   35°00′16″
東経 135°52′06″","35.00444,135.86833",35.00444,135.86833,"35.00121,135.87118"
26,京都府,京都市,"北緯   35°01′17″
東経 135°45′20″","35.02139,135.75556",35.02139,135.75556,"35.01816,135.75841"
27,大阪府,大阪市,"北緯   34°41′11″
東経 135°31′12″","34.68639,135.52",34.68639,135.52,"34.68313,135.52281"
28,兵庫県,神戸市,"北緯   34°41′29″
東経 135°10′59″","34.69139,135.18306",34.69139,135.18306,"34.68814,135.18584"
29,奈良県,奈良市,"北緯   34°41′07″
東経 135°49′58″","34.68528,135.83278",34.68528,135.83278,"34.68202,135.83562"
30,和歌山県,和歌山市,"北緯   34°13′34″
東経 135°10′03″","34.22611,135.1675",34.22611,135.1675,"34.22281,135.17026"
31,鳥取県,鳥取市,"北緯   35°30′13″
東経 134°14′18″","35.50361,134.23833",35.50361,134.23833,"35.50046,134.24107"
32,島根県,松江市,"北緯   35°28′20″
東経 133°03′02″","35.47222,133.05056",35.47222,133.05056,"35.46909,133.0532"
33,岡山県,岡山市,"北緯   34°39′42″
東経 133°56′06″","34.66167,133.935",34.66167,133.935,"34.65844,133.93768"
34,広島県,広島市,"北緯   34°23′47″
東経 132°27′34″","34.39639,132.45944",34.39639,132.45944,"34.39315,132.46198"
35,山口県,山口市,"北緯   34°11′09″
東経 131°28′17″","34.18583,131.47139",34.18583,131.47139,"34.18259,131.47384"
36,徳島県,徳島市,"北緯   34°03′57″
東経 134°33′34″","34.06583,134.55944",34.06583,134.55944,"34.06252,134.56214"
37,香川県,高松市,"北緯   34°20′25″
東経 134°02′36″","34.34028,134.04333",34.34028,134.04333,"34.33701,134.046"
38,愛媛県,松山市,"北緯   33°50′30″
東経 132°45′58″","33.84167,132.76611",33.84167,132.76611,"33.83837,132.76865"
39,高知県,高知市,"北緯   33°33′35″
東経 133°31′52″","33.55972,133.53111",33.55972,133.53111,"33.55638,133.5337"
40,福岡県,福岡市,"北緯   33°36′23″
東経 130°25′05″","33.60639,130.41806",33.60639,130.41806,"33.55303,133.53629"
41,佐賀県,佐賀市,"北緯   33°14′58″
東経 130°17′56″","33.24944,130.29889",33.24944,130.29889,"33.24612,130.3012"
42,長崎県,長崎市,"北緯   32°44′41″
東経 129°52′25″","32.74472,129.87361",32.74472,129.87361,"32.74135,129.87586"
43,熊本県,熊本市,"北緯   32°47′23″
東経 130°44′30″","32.78972,130.74167",32.78972,130.74167,"32.78634,130.744"
44,大分県,大分市,"北緯   33°14′17″
東経 131°36′45″","33.23806,131.6125",33.23806,131.6125,"33.23471,131.61492"
45,宮崎県,宮崎市,"北緯   31°54′40″
東経 131°25′26″","31.91111,131.42389",31.91111,131.42389,"31.90763,131.42623"
46,鹿児島県,鹿児島市,"北緯   31°33′37″
東経 130°33′29″","31.56028,130.55806",31.56028,130.55806,"31.55677,130.56031"
47,沖縄県,那覇市,"北緯   26°12′45″
東経 127°40′52″","26.2125,127.68111",26.2125,127.68111,"26.20847,127.68288"